created_at,heart_rate,spo2,activity,sound_level,temperature
2025-10-11 00:37:06+00:00,55,98,0.017,766,36.5
2025-10-11 00:37:25+00:00,57,96,0.042,921,35.9
2025-10-11 00:37:41+00:00,59,97,0.027,991,36.2
2025-10-11 00:38:01+00:00,59,96,0.022,678,36.4
2025-10-11 00:38:21+00:00,58,96,0.046,820,36.4
2025-10-11 00:38:40+00:00,54,98,0.051,831,36.8
2025-10-11 00:38:55+00:00,55,96,0.018,725,36.3
2025-10-11 00:39:13+00:00,60,96,0.018,962,36.7
2025-10-11 00:39:33+00:00,79,96,0.3436,1384,36.5784
2025-10-11 00:39:52+00:00,82,96,0.4194,1651,36.8896
2025-10-11 00:40:08+00:00,83,96,0.435,1550,36.998
2025-10-11 00:40:23+00:00,85,95,0.3916,1632,37.0064
2025-10-11 00:40:42+00:00,84,95,0.3974,1561,37.2176
2025-10-11 00:41:02+00:00,88,97,0.4792,1211,36.6288
2025-10-11 00:41:21+00:00,89,95,0.505,1652,37.24
2025-10-11 00:41:37+00:00,88,95,0.4946,1450,36.6484
2025-10-11 00:41:57+00:00,84,95,0.5834,1649,36.5596
2025-10-11 00:42:13+00:00,85,97,0.649,1699,36.868
2025-10-11 00:42:32+00:00,83,96,0.6798,1651,36.7792
2025-10-11 00:42:50+00:00,87,96,0.6844,1766,36.8876
2025-10-11 00:43:10+00:00,85,97,0.6982,1336,36.7988
2025-10-11 00:43:35+00:00,79,97,0.442,1714,37.105
2025-10-11 00:43:54+00:00,82,97,0.56268,1341,37.2387
2025-10-11 00:44:14+00:00,86,96,0.52793,1293,36.86409
2025-10-11 00:44:33+00:00,90,95,0.59864,2412,37.07486
2025-10-11 00:44:53+00:00,89,97,0.54495,1976,37.16837
2025-10-11 00:45:12+00:00,82,97,0.58099,1731,37.24622
2025-10-11 00:45:32+00:00,83,97,0.47583,3300,36.71388
2025-10-11 00:45:51+00:00,83,95,0.31304,1543,37.17934
2025-10-11 00:46:10+00:00,78,96,0.25154,2575,36.55116
2025-10-11 00:46:26+00:00,81,97,0.25793,1252,36.53848
2025-10-11 00:46:44+00:00,82,97,0.29033,1115,36.83513
2025-10-11 00:47:06+00:00,81,95,0.31176,1306,36.64579
2025-10-11 00:47:26+00:00,81,95,0.30682,1235,36.8711
2025-10-11 00:47:51+00:00,93,95,0.95265,1437,36.7063
2025-10-11 00:48:11+00:00,105,95,1.16026,1668,37.50338
2025-10-11 00:48:31+00:00,106,95,1.34147,1974,37.16996
2025-10-11 00:48:50+00:00,110,95,1.37796,1709,37.1896
2025-10-11 00:49:09+00:00,106,96,1.28825,2033,37.35743
2025-10-11 00:49:28+00:00,101,96,1.18878,1995,36.98141
2025-10-11 00:49:43+00:00,95,95,0.8925,1474,37.40664
2025-10-11 00:50:03+00:00,90,96,0.69211,1746,36.90304
2025-10-11 00:50:22+00:00,81,96,0.45063,1461,37.11847
2025-10-11 00:50:42+00:00,83,97,0.3028,2797,36.97381
2025-10-11 00:51:01+00:00,81,97,0.37901,1446,36.58011
2025-10-11 00:51:20+00:00,89,95,0.50524,2787,37.13581
2025-10-11 00:51:40+00:00,91,97,0.70011,1819,36.82715
2025-10-11 00:51:55+00:00,57,96,0.047,965,36.7
2025-10-11 00:52:14+00:00,59,97,0.037,847,36.6
2025-10-11 00:52:33+00:00,60,97,0.46,947,36.1
2025-10-11 00:52:52+00:00,58,96,0.035,611,36.6
2025-10-11 00:53:08+00:00,56,96,0.021,868,36.4
2025-10-11 00:53:27+00:00,53,98,0.039,937,36.5
2025-10-11 00:53:46+00:00,55,97,0.016,876,35.9
2025-10-11 00:54:06+00:00,53,97,0.022,942,36.8
2025-10-11 00:54:25+00:00,58,97,0.035,916,36.3
2025-10-11 00:54:44+00:00,54,98,0.049,937,36.8
2025-10-11 00:55:04+00:00,58,98,0.052,742,35.9
2025-10-11 00:55:23+00:00,54,97,0.041,769,36.7
2025-10-11 00:55:42+00:00,54,96,0.018,889,36.2
2025-10-11 00:56:02+00:00,81,96,0.2964,1186,36.7756
2025-10-11 00:56:21+00:00,79,97,0.3872,1563,36.8868
2025-10-11 00:56:41+00:00,86,97,0.467,1355,37.098
2025-10-11 00:57:00+00:00,79,96,0.4588,1196,36.7092
2025-10-11 00:57:19+00:00,81,97,0.4536,1195,37.1204
2025-10-11 00:57:39+00:00,85,97,0.4534,1316,37.0316
2025-10-11 00:57:55+00:00,81,97,0.551,1562,37.04
2025-10-11 00:58:15+00:00,90,97,0.5368,1602,37.2512
2025-10-11 00:58:34+00:00,83,97,0.5096,2183,37.2624
2025-10-11 00:58:53+00:00,91,96,0.6514,1337,36.8736
2025-10-11 00:59:12+00:00,86,97,0.6,1695,36.882
2025-10-11 00:59:27+00:00,84,95,0.6056,1757,37.0904
2025-10-11 00:59:46+00:00,93,97,0.6704,1495,36.6016
2025-10-11 01:00:06+00:00,85,97,0.447,3033,36.605
2025-10-11 01:00:21+00:00,85,96,0.51523,1168,37.13076
2025-10-11 01:00:40+00:00,88,96,0.51964,1175,36.55891
2025-10-11 01:01:00+00:00,87,96,0.64979,2231,36.57375
2025-10-11 01:01:15+00:00,91,95,0.55984,1244,36.57377
2025-10-11 01:01:31+00:00,84,95,0.53808,2263,37.26414
2025-10-11 01:01:50+00:00,88,96,0.57593,2647,37.2388
2025-10-11 01:02:10+00:00,80,96,0.44329,1099,37.10511
2025-10-11 01:02:29+00:00,78,97,0.34058,1077,37.07139
2025-10-11 01:02:48+00:00,77,97,0.30922,1251,36.54597
2025-10-11 01:03:07+00:00,75,96,0.23638,1372,37.03515
2025-10-11 01:03:27+00:00,83,96,0.30193,1543,36.94158
2025-10-11 01:03:46+00:00,82,95,0.28378,1584,36.46369
2025-10-11 01:04:05+00:00,78,97,0.41888,1192,36.89601
2025-10-11 01:04:20+00:00,97,95,0.97923,1924,36.9322
2025-10-11 01:04:36+00:00,97,95,1.17826,2050,37.10338
2025-10-11 01:04:55+00:00,102,95,1.31747,1618,37.26996
2025-10-11 01:05:13+00:00,106,94,2.15091,1906,37.58957
2025-10-11 01:05:33+00:00,103,96,1.97184,2006,37.5701
2025-10-11 01:05:52+00:00,98,96,1.19996,1594,37.10365
2025-10-11 01:06:11+00:00,97,96,0.8815,1716,37.40664
2025-10-11 01:06:30+00:00,92,95,0.68611,1580,37.30304
2025-10-11 01:06:50+00:00,88,97,0.48263,1685,37.21846
2025-10-11 01:07:10+00:00,82,97,0.3298,2247,36.57381
2025-10-11 01:07:29+00:00,83,97,0.33001,1165,37.18011
2025-10-11 01:07:48+00:00,90,97,0.47224,1440,36.53581
2025-10-11 01:08:08+00:00,87,96,0.67711,1700,37.22715
2025-10-11 01:08:27+00:00,59,96,0.05,897,36.3
2025-10-11 01:08:47+00:00,60,96,0.051,982,36.5
2025-10-11 01:09:06+00:00,56,96,0.053,648,36.7
2025-10-11 01:09:25+00:00,57,98,0.024,894,36.1
2025-10-11 01:09:44+00:00,56,97,0.024,650,36.3
2025-10-11 01:10:03+00:00,54,96,0.051,862,36.8
2025-10-11 01:10:22+00:00,54,98,0.028,818,35.9
2025-10-11 01:10:42+00:00,56,98,0.038,910,35.9
2025-10-11 01:11:02+00:00,54,98,0.038,672,36.3
2025-10-11 01:11:21+00:00,60,98,0.037,779,36.4
2025-10-11 01:11:40+00:00,59,96,0.021,848,36.7
2025-10-11 01:12:00+00:00,55,98,0.043,989,36.2
2025-10-11 01:12:19+00:00,82,97,0.31,1151,36.87
2025-10-11 01:12:38+00:00,81,95,0.3368,1180,37.1812
2025-10-11 01:12:58+00:00,84,96,0.3556,1158,36.5924
2025-10-11 01:13:17+00:00,86,97,0.4224,2066,36.9036
2025-10-11 01:13:38+00:00,80,95,0.4082,1404,36.7148
2025-10-11 01:13:57+00:00,80,95,0.491,1564,37.126
2025-10-11 01:14:13+00:00,83,97,0.5586,1529,37.1344
2025-10-11 01:14:32+00:00,86,95,0.5284,1605,37.1456
2025-10-11 01:14:53+00:00,84,97,0.5562,1505,36.6568
2025-10-11 01:15:12+00:00,91,97,0.528,1692,36.568
2025-10-11 01:15:32+00:00,87,97,0.6598,3242,36.7792
2025-10-11 01:15:47+00:00,90,96,0.6444,1754,36.5876
2025-10-11 01:16:07+00:00,93,96,0.6172,1782,37.1988
2025-10-11 01:16:31+00:00,82,95,0.425,1401,36.905
2025-10-11 01:16:51+00:00,89,96,0.52968,1367,36.83871
2025-10-11 01:17:10+00:00,83,96,0.54993,1354,37.26408
2025-10-11 01:18:24+00:00,88,97,0.53838,1633,37.05298
2025-10-11 01:18:43+00:00,81,97,0.4905,1684,36.93086
2025-10-11 01:19:02+00:00,82,95,0.36729,1664,36.60511
2025-10-11 01:20:14+00:00,79,95,0.26327,1122,36.93627
2025-10-11 01:20:32+00:00,81,97,0.29311,1550,37.03621
2025-10-11 01:20:52+00:00,79,97,0.23499,1054,36.65094
2025-10-11 01:21:11+00:00,80,96,0.33124,1206,36.97903
2025-10-11 01:21:26+00:00,95,97,0.874,1589,37.08
2025-10-11 01:21:41+00:00,100,96,1.07469,1849,36.85727
2025-10-11 01:21:57+00:00,105,96,1.1825,1693,37.52369
2025-10-11 01:22:16+00:00,107,94,1.35446,1592,37.37968
2025-10-11 01:22:35+00:00,106,96,1.38696,2114,37.2896
2025-10-11 01:22:53+00:00,102,96,1.74884,3260,37.4701
2025-10-11 01:23:13+00:00,99,94,1.19996,1620,36.90365
2025-10-11 01:23:32+00:00,96,94,0.9935,1559,37.00664
2025-10-11 01:23:50+00:00,92,95,0.73361,1528,36.82813
2025-10-11 01:24:12+00:00,86,96,0.46512,1353,36.53654
2025-10-11 01:24:31+00:00,86,95,0.3678,2358,36.68042
2025-10-11 01:24:50+00:00,79,96,0.33232,1363,36.67362
2025-10-11 01:25:10+00:00,81,95,0.49998,1425,36.61782
2025-10-11 01:25:29+00:00,89,97,0.72271,1431,37.30211
2025-10-11 01:25:48+00:00,56,98,0.04,657,35.9
2025-10-11 01:26:07+00:00,55,96,0.054,957,36.1
2025-10-11 01:26:27+00:00,60,98,0.033,700,36.7
2025-10-11 01:26:42+00:00,53,97,0.045,951,36.8
2025-10-11 01:27:12+00:00,53,96,0.043,909,36.7
2025-10-11 01:27:40+00:00,53,96,0.326,615,36.2
2025-10-11 01:27:59+00:00,56,97,0.026,737,36.7
2025-10-11 01:28:16+00:00,60,97,0.024,698,36.3
2025-10-11 01:28:36+00:00,60,98,0.015,610,36.5
2025-10-11 01:28:53+00:00,56,98,0.352,2405,36.4
2025-10-11 01:29:13+00:00,53,96,0.024,879,36.0
2025-10-11 01:29:39+00:00,56,96,0.049,1999,36.3
2025-10-11 01:29:54+00:00,55,97,0.04,975,35.9
2025-10-11 01:30:09+00:00,55,98,0.015,643,36.6
2025-10-11 01:30:29+00:00,80,95,0.4176,1154,36.9784
2025-10-11 01:30:48+00:00,85,97,0.3804,1451,37.0896
2025-10-11 01:31:07+00:00,85,97,0.3822,1676,37.2008
2025-10-11 01:31:27+00:00,82,97,0.403,1449,37.212
2025-10-11 01:31:46+00:00,87,97,0.4548,2114,36.5232
2025-10-11 01:32:06+00:00,85,96,0.4796,1264,36.7344
2025-10-11 01:32:25+00:00,85,95,0.5184,1472,36.8456
2025-10-11 01:32:45+00:00,87,96,0.5082,2437,36.9568
2025-10-11 01:33:04+00:00,89,96,0.58,1264,36.868
2025-10-11 01:33:23+00:00,83,96,0.5578,2228,36.5792
2025-10-11 01:33:42+00:00,86,96,0.5876,1515,36.7904
2025-10-11 01:34:01+00:00,89,96,0.6644,1680,37.2016
2025-10-11 01:34:21+00:00,84,96,0.419,2934,37.005
2025-10-11 01:34:40+00:00,89,95,0.51268,1522,37.0387
2025-10-11 01:35:01+00:00,86,95,0.58593,1299,37.06408
2025-10-11 01:35:24+00:00,86,97,0.61264,1198,36.87486
2025-10-11 01:35:43+00:00,87,97,0.58124,1702,37.17159
2025-10-11 01:36:02+00:00,82,97,0.61038,1618,37.15298
2025-10-11 01:36:20+00:00,85,96,0.5425,1675,37.23086
2025-10-11 01:36:40+00:00,85,95,0.37274,1534,36.69634
2025-10-11 01:36:55+00:00,85,97,0.31604,1091,37.07935
2025-10-11 01:37:10+00:00,78,97,0.30304,1118,36.85718
2025-10-11 01:37:30+00:00,75,95,0.24093,1039,37.03848
2025-10-11 01:37:49+00:00,78,97,0.22611,1438,37.13621
2025-10-11 01:38:09+00:00,83,95,0.27899,1560,37.15094
2025-10-11 01:38:50+00:00,85,97,0.46488,2281,36.99601
2025-10-11 01:39:05+00:00,93,96,0.98723,1624,36.8322
2025-10-11 01:39:25+00:00,99,96,1.9145,2492,36.92369
2025-10-11 01:39:44+00:00,107,95,1.34546,1677,37.07968
2025-10-11 01:40:04+00:00,107,94,1.43553,1674,37.18632
2025-10-11 01:40:22+00:00,106,95,1.32125,1845,37.55743
2025-10-11 01:40:42+00:00,104,94,1.09178,1501,37.28141
2025-10-11 01:40:59+00:00,97,95,0.9275,1399,37.20663
2025-10-11 01:41:14+00:00,87,96,0.75061,2987,36.72813
2025-10-11 01:41:34+00:00,89,96,0.55312,1704,36.63655
2025-10-11 01:41:54+00:00,86,95,0.3498,1418,36.78042
2025-10-11 01:42:13+00:00,85,96,0.33532,2096,36.77362
2025-10-11 01:42:33+00:00,85,97,0.51698,1275,36.91782
2025-10-11 01:42:52+00:00,88,95,0.72971,1510,37.20211
2025-10-11 01:43:11+00:00,55,97,0.039,788,36.3
2025-10-11 01:43:30+00:00,54,96,0.017,743,36.8
2025-10-11 01:43:49+00:00,56,96,0.048,971,36.6
2025-10-11 01:44:08+00:00,59,98,0.046,1523,36.0
2025-10-11 01:44:27+00:00,57,98,0.052,696,36.0
2025-10-11 01:44:46+00:00,57,97,0.016,762,36.4
2025-10-11 01:45:02+00:00,57,96,0.019,937,36.3
2025-10-11 01:45:21+00:00,60,97,0.041,712,36.2
2025-10-11 01:45:42+00:00,54,96,0.054,862,36.3
2025-10-11 01:45:59+00:00,55,97,0.02,705,36.3
2025-10-11 01:46:14+00:00,54,96,0.039,797,36.6
2025-10-11 01:46:34+00:00,56,97,0.017,756,36.7
2025-10-11 01:46:53+00:00,56,98,0.024,755,36.3
2025-10-11 01:47:13+00:00,56,96,0.026,623,36.7
2025-10-11 01:47:32+00:00,82,97,0.4134,1769,36.9756
2025-10-11 01:47:51+00:00,81,95,0.3632,1415,36.9868
2025-10-11 01:48:06+00:00,84,97,0.4118,1163,36.5952
2025-10-11 01:48:32+00:00,80,97,0.4088,1674,36.5092
2025-10-11 01:48:53+00:00,85,96,0.3996,3278,36.7204
2025-10-11 01:49:12+00:00,87,96,0.4774,1692,37.2316
2025-10-11 01:49:32+00:00,83,96,0.4982,1250,37.1428
2025-10-11 01:49:51+00:00,84,96,0.543,1180,36.754
2025-10-11 01:50:06+00:00,88,95,0.5486,2779,37.2624
2025-10-11 01:50:26+00:00,90,97,0.6394,1652,37.1736
2025-10-11 01:51:23+00:00,87,97,0.7184,1520,37.3016
2025-10-11 01:51:45+00:00,82,96,0.426,1872,36.605
2025-10-11 01:52:05+00:00,83,97,0.56268,1162,36.63871
2025-10-11 01:52:21+00:00,85,95,0.56864,1429,36.65892
2025-10-11 01:52:37+00:00,87,97,0.55815,2849,36.67156
2025-10-11 01:52:52+00:00,90,95,0.58965,1176,36.87487
2025-10-11 01:53:08+00:00,91,95,0.56295,1549,37.06837
2025-10-11 01:53:27+00:00,87,96,0.59299,1478,36.64622
2025-10-11 01:53:46+00:00,85,97,0.39183,1240,36.71388
2025-10-11 01:54:04+00:00,85,95,0.35454,2322,36.68771
2025-10-11 01:54:23+00:00,83,97,0.26404,1477,36.75718
2025-10-11 01:54:43+00:00,83,95,0.21893,1350,36.93847
2025-10-11 01:55:01+00:00,78,96,0.24011,1256,36.63621
2025-10-11 01:55:21+00:00,81,95,0.22999,1130,36.95094
2025-10-11 01:55:40+00:00,84,96,0.39824,1282,36.77904
2025-10-11 01:55:59+00:00,97,95,0.88365,1539,36.9063
2025-10-11 01:56:18+00:00,105,96,1.13626,3150,37.40338
2025-10-11 01:56:38+00:00,104,95,1.33547,1614,37.16996
2025-10-11 01:56:58+00:00,103,94,1.45496,1719,36.9896
2025-10-11 01:57:17+00:00,102,94,1.37625,1648,37.55743
2025-10-11 01:57:37+00:00,101,94,1.15478,1961,36.78141
2025-10-11 01:57:56+00:00,95,95,0.81786,1607,36.78033
2025-10-11 01:58:15+00:00,92,96,0.57373,1184,37.17917
2025-10-11 01:58:34+00:00,83,95,0.47467,2975,37.20293
2025-10-11 01:58:53+00:00,80,95,0.40015,1381,36.87045
2025-10-11 01:59:13+00:00,81,95,0.42279,1411,36.58975
2025-10-11 01:59:32+00:00,90,97,0.61834,1244,36.85608
2025-10-11 01:59:52+00:00,89,97,0.81465,1775,36.65303
2025-10-11 02:00:11+00:00,55,97,0.016,727,36.2
2025-10-11 02:00:30+00:00,54,97,0.035,818,36.3
2025-10-11 02:00:49+00:00,59,97,0.02,604,36.4
2025-10-11 02:01:09+00:00,54,98,0.023,730,36.6
2025-10-11 02:01:28+00:00,57,97,0.03,680,36.2
2025-10-11 02:01:48+00:00,54,96,0.043,2310,36.8
2025-10-11 02:02:07+00:00,60,96,0.039,2297,36.6
2025-10-11 02:02:26+00:00,54,98,0.049,646,36.7
2025-10-11 02:02:47+00:00,60,96,0.049,698,36.7
2025-10-11 02:03:03+00:00,54,96,0.015,885,36.7
2025-10-11 02:03:22+00:00,60,97,0.04,975,36.0
2025-10-11 02:03:41+00:00,54,96,0.049,775,36.0
2025-10-11 02:04:00+00:00,76,96,0.37,1041,36.87
2025-10-11 02:04:20+00:00,78,97,0.3248,1475,36.9812
2025-10-11 02:04:39+00:00,82,95,0.3656,1302,36.4924
2025-10-11 02:04:58+00:00,82,96,0.4184,1363,37.0036
2025-10-11 02:05:18+00:00,81,97,0.4072,1678,37.2148
2025-10-11 02:05:37+00:00,81,96,0.415,1390,36.726
2025-10-11 02:05:56+00:00,89,95,0.4678,1288,37.0372
2025-10-11 02:06:15+00:00,88,96,0.5706,1727,37.1484
2025-10-11 02:06:34+00:00,82,97,0.5904,1318,36.7596
2025-10-11 02:06:53+00:00,84,96,0.6082,1362,37.0708
2025-10-11 02:07:08+00:00,85,95,0.5668,1695,36.8792
2025-10-11 02:07:27+00:00,86,95,0.6536,1662,37.0904
2025-10-11 02:07:46+00:00,91,96,0.6804,1338,37.1016
2025-10-11 02:08:05+00:00,86,95,0.488,1643,37.005
2025-10-11 02:08:24+00:00,86,95,0.54468,1309,36.63871
2025-10-11 02:08:43+00:00,88,97,0.62193,1196,37.06408
2025-10-11 02:09:01+00:00,89,95,0.60364,1555,36.67486
2025-10-11 02:09:20+00:00,90,95,0.52895,3054,37.26837
2025-10-11 02:09:39+00:00,84,95,0.56599,1518,36.84622
2025-10-11 02:09:58+00:00,82,97,0.41883,1246,36.81388
2025-10-11 02:10:18+00:00,78,95,0.37604,1200,36.57935
2025-10-11 02:10:37+00:00,79,96,0.33654,1378,37.15115
2025-10-11 02:10:57+00:00,82,95,0.18927,1025,36.63627
2025-10-11 02:11:17+00:00,81,96,0.26567,1585,37.03837
2025-10-11 02:11:32+00:00,82,96,0.22499,1281,36.85094
2025-10-11 02:11:51+00:00,82,97,0.35224,3004,37.07904
2025-10-11 02:12:06+00:00,91,97,0.898,1703,37.28
2025-10-11 02:12:26+00:00,98,94,1.16803,2010,37.18112
2025-10-11 02:12:46+00:00,102,94,1.26779,3376,37.25725
2025-10-11 02:13:05+00:00,104,96,1.45491,1876,37.18958
2025-10-11 02:13:25+00:00,104,94,1.40284,1901,37.5701
2025-10-11 02:13:44+00:00,100,96,1.22196,1945,37.20365
2025-10-11 02:14:03+00:00,95,96,0.9315,1886,36.90664
2025-10-11 02:14:23+00:00,94,97,0.71911,1761,36.60304
2025-10-11 02:14:43+00:00,86,95,0.42463,1213,36.51846
2025-10-11 02:15:03+00:00,79,97,0.3088,2321,36.97381
2025-10-11 02:15:22+00:00,82,95,0.31301,1338,37.08011
2025-10-11 02:15:38+00:00,81,95,0.51698,1453,36.71782
2025-10-11 02:15:57+00:00,92,97,0.67471,1389,37.30211
2025-10-11 02:16:16+00:00,56,98,0.039,689,36.2
2025-10-11 02:16:36+00:00,57,98,0.371,734,36.7
2025-10-11 02:16:55+00:00,55,96,0.049,685,36.3
2025-10-11 02:17:15+00:00,55,97,0.029,1765,36.6
2025-10-11 02:17:34+00:00,59,98,0.026,671,36.6
2025-10-11 02:17:49+00:00,55,98,0.05,1817,36.0
2025-10-11 02:18:08+00:00,59,96,0.043,818,36.7
2025-10-11 02:18:27+00:00,58,98,0.05,747,36.6
2025-10-11 02:18:47+00:00,55,98,0.039,1817,36.7
2025-10-11 02:19:05+00:00,59,98,0.047,678,36.1
2025-10-11 02:19:28+00:00,57,97,0.025,645,36.5
2025-10-11 02:19:47+00:00,55,97,0.041,641,36.5
2025-10-11 02:20:02+00:00,54,98,0.027,973,36.3
2025-10-11 02:20:22+00:00,81,95,0.283,1621,36.97
2025-10-11 02:20:41+00:00,82,95,0.3798,1347,36.4812
2025-10-11 02:21:00+00:00,84,96,0.3686,1335,36.9924
2025-10-11 02:21:19+00:00,80,97,0.4844,1534,37.0036
2025-10-11 02:21:38+00:00,82,95,0.4962,1476,36.8148
2025-10-11 02:21:58+00:00,81,97,0.534,1369,37.226
2025-10-11 02:22:17+00:00,86,95,0.5678,1498,36.5372
2025-10-11 02:22:36+00:00,83,96,0.4856,2566,36.9484
2025-10-11 02:22:56+00:00,90,96,0.5674,1301,36.9596
2025-10-11 02:23:15+00:00,83,96,0.6222,1723,36.5708
2025-10-11 02:23:34+00:00,86,96,0.667,1279,37.282
2025-10-11 02:23:53+00:00,85,96,0.6478,1255,36.5932
2025-10-11 02:24:13+00:00,92,96,0.7196,1227,36.7044
2025-10-11 02:24:32+00:00,86,96,0.44555,1476,36.71377
2025-10-11 02:24:52+00:00,81,97,0.48975,1727,37.04612
2025-10-11 02:25:12+00:00,88,97,0.61282,1583,36.66832
2025-10-11 02:25:31+00:00,88,96,0.64265,1507,36.67487
2025-10-11 02:25:51+00:00,87,96,0.57608,1606,36.96414
2025-10-11 02:26:22+00:00,87,97,0.5555,1402,36.93086
2025-10-11 02:26:39+00:00,86,97,0.45529,1491,36.50511
2025-10-11 02:27:12+00:00,85,97,0.37748,1358,36.96396
2025-10-11 02:27:31+00:00,82,95,0.2593,1180,36.54173
2025-10-11 02:27:51+00:00,76,97,0.22733,1093,36.93513
2025-10-11 02:28:10+00:00,79,96,0.28276,2422,37.0458
2025-10-11 02:28:25+00:00,82,97,0.26078,1150,36.46369
2025-10-11 02:28:44+00:00,79,96,0.39188,1434,36.59601
2025-10-11 02:29:04+00:00,102,95,1.07869,1485,36.95727
2025-10-11 02:29:24+00:00,99,94,1.24392,1978,36.84175
2025-10-11 02:29:43+00:00,105,96,1.41536,2076,37.08625
2025-10-11 02:30:03+00:00,103,96,1.33573,1765,37.37978
2025-10-11 02:30:39+00:00,99,96,1.18996,1785,37.20365
2025-10-11 02:30:58+00:00,93,96,0.8805,1857,37.00664
2025-10-11 02:31:17+00:00,88,96,0.62811,1766,37.10304
2025-10-11 02:31:37+00:00,89,95,0.49863,1645,37.21846
2025-10-11 02:31:56+00:00,84,95,0.3408,2674,36.87381
2025-10-11 02:32:15+00:00,83,97,0.38701,1496,36.88011
2025-10-11 02:32:34+00:00,84,96,0.56524,1380,36.93581
2025-10-11 02:32:54+00:00,92,96,0.74811,1335,37.32715
2025-10-11 02:33:13+00:00,58,97,0.043,878,36.3
2025-10-11 02:33:32+00:00,57,97,0.027,900,35.9
2025-10-11 02:33:51+00:00,55,98,0.038,753,36.5
